N,g(N)
1190000.000000,0.425703
1191000.000000,0.427441
1192000.000000,0.442227
1193000.000000,0.432938
1194000.000000,0.428419
1195000.000000,0.433512
1196000.000000,0.447904
1197000.000000,0.432118
1198000.000000,0.424839
1199000.000000,0.446636
1200000.000000,0.440731
1201000.000000,0.432484
1202000.000000,0.451726
1203000.000000,0.424662
1204000.000000,0.450024
1205000.000000,0.435007
1206000.000000,0.427262
1207000.000000,0.439257
1208000.000000,0.433395
1209000.000000,0.446807
1210000.000000,0.424925
1211000.000000,0.418213
1212000.000000,0.444991
1213000.000000,0.440972
1214000.000000,0.459226
1215000.000000,0.434019
1216000.000000,0.439332
1217000.000000,0.427502
1218000.000000,0.432540
1219000.000000,0.438514
1220000.000000,0.444494
1221000.000000,0.428796
1222000.000000,0.432399
1223000.000000,0.440428
1224000.000000,0.437813
1225000.000000,0.443266
1226000.000000,0.431513
1227000.000000,0.432522
1228000.000000,0.435784
1229000.000000,0.443208
1230000.000000,0.434123
1231000.000000,0.436797
1232000.000000,0.436719
1233000.000000,0.441098
1234000.000000,0.447337
1235000.000000,0.447502
1236000.000000,0.437301
1237000.000000,0.441760
1238000.000000,0.445303
1239000.000000,0.439120
1240000.000000,0.439659
1241000.000000,0.431975
1242000.000000,0.426647
1243000.000000,0.435542
1244000.000000,0.445370
1245000.000000,0.437947
1246000.000000,0.434020
1247000.000000,0.433895
